Algona,5741,6015,6289
Altoona,10345,7242,5764
Ames,50731,47198,45775
Ankeny,27117,18482,15429
Atlantic,7257,7432,7789
Bettendorf,31275,28139,27381
Boone,12803,12392,12602
Burlington,26839,27208,29529
Carroll,10106,9579,9705
Cedar Falls,36145,34298,36322
Cedar Rapids,120758,108772,110243
Centerville,5924,5936,6558
Charles City,7812,7878,8778
Cherokee,5369,6026,7004
Clear Lake,8161,8183,7458
Clinton,27772,29201,32828
Clive,12885,7462,6064
Coralville,15123,10347,7687
Council Bluffs,58268,54315,56449
Creston,7597,7911,8429
Davenport,98359,95333,103264
Decorah,8172,8063,7991
Denison,7339,6604,6675
Des Moines,198682,193189,191003
Dubuque,57686,57538,62374
Estherville,6656,6720,7518
Fairfield,9509,9768,9428
Fort Dodge,25136,25894,29423
Fort Madison,10715,11614,13520
Grinnell,9105,8902,8868
Independence,6014,5972,6392
Indianola,12998,11340,10843
Iowa City,62220,59735,50508
Keokuk,11427,12451,13536
Knoxville,7731,8232,8143
Le Mars,9237,8454,8276
Maquoketa,6112,6130,6313
Marion,26294,20442,19474
Marshalltown,26009,25178,26938
Mason City,29172,29040,30144
Mount Pleasant,8751,7959,7322
Muscatine,22697,22881,23467
Nevada,6658,6009,5912
Newton,15579,14799,15292
Norwalk,6884,5726,2676
Oelwein,6692,6493,7564
Oskaloosa,10938,10600,10989
Ottumwa,24998,24488,27381
Pella,9832,9270,8349
Perry,7633,6652,7053
Red Oak,6197,6264,6810
Sioux City,85013,80505,82003
Spencer,11317,11066,11726
Storm Lake,10076,8769,8814
Urbandale,29072,27500,17869
Washington,7047,7074,6584
Waterloo,68747,66467,75985
Waverly,8968,8539,8444
Webster City,8176,7894,8572
West Des Moines,46403,31702,21894
